candidate_id,parent_id,family,stage,cleavage_zero_target_eV,guard_log10_q_low,guard_exponent,cleavage_entropy_zero_kB,cleavage_entropy_active_kB,cleavage_entropy_infinity_kB,emission_entropy_active_kB,emission_entropy_infinity_kB,emission_stratum,cleavage_heat_capacity_base_kB,cleavage_heat_capacity_guard_kB,emission_heat_capacity_base_kB,complexity
P25_TJBS_T_000558,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.5,-8,6,-10,-20,10,40,-5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000559,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,2,-4,4,10,20,0,10,5,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000560,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,2,-8,8,-40,-20,20,30,-5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000561,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.5,-4,2,20,10,-20,60,10,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000562,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1,-6,6,0,40,0,10,10,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000563,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.5,-4,4,10,0,0,40,0,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000564,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.75,-7,2,10,-10,20,0,15,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000565,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.25,-5,8,-20,40,-20,35,5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000566,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.25,-7,4,40,0,-10,20,-5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000567,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,2,-3,6,-40,-40,10,50,10,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000568,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.75,-6,4,-10,20,0,0,15,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000569,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.25,-5,6,20,-20,0,35,0,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000570,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1,-8,2,-40,-10,-20,20,0,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000571,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.75,-3,8,40,40,10,50,10,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000572,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.5,-8,6,40,20,10,30,-5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000573,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1,-3,4,-20,-10,-10,60,5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000574,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.5,-6,8,0,-40,-20,10,15,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000575,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,2,-5,2,-10,10,20,40,0,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000576,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,2,-6,8,20,40,10,35,0,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000577,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.5,-5,2,-10,0,-10,0,10,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000578,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1,-8,6,40,-20,-20,50,10,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000579,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.5,-3,4,-40,10,20,20,-5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000580,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.75,-7,2,-20,0,0,60,10,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000581,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1,-3,8,40,-40,-10,30,-5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000582,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.25,-7,4,-10,-10,-20,40,5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000583,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.75,-5,6,0,20,20,10,15,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000584,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,2,-8,4,20,0,20,60,10,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000585,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.25,-4,6,-40,40,-20,30,0,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000586,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.25,-6,2,10,20,-10,40,5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000587,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.75,-4,8,0,-20,10,10,15,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000588,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.5,-7,6,-20,-40,10,35,0,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000589,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1,-5,4,10,10,-10,0,15,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000590,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.25,-7,8,-40,20,0,50,5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000591,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,2,-3,2,40,-20,0,20,-5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000592,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,2,-7,6,-10,10,-10,0,5,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000593,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.5,-3,4,0,-20,10,35,-5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000594,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1,-7,8,-20,0,0,20,0,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000595,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.5,-5,2,20,40,0,50,15,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000596,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.75,-6,4,40,40,-20,30,5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000597,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.25,-4,6,-40,-10,20,60,15,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000598,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.25,-8,2,10,-40,10,10,10,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000599,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,2,-4,8,-10,0,-10,40,-5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000600,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.75,-6,2,-40,-20,0,30,5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000601,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.25,-5,8,40,10,10,60,15,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000602,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1,-8,4,-10,40,20,10,10,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000603,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.75,-3,6,10,-10,-20,40,-5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000604,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.75,-8,8,10,-10,-10,0,5,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000605,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1,-3,2,0,20,10,35,-5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000606,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.5,-6,6,20,10,20,20,0,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000607,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,2,-5,4,-20,-40,-20,50,10,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000608,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,2,-8,2,-10,20,-20,20,15,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000609,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.5,-4,8,20,-10,20,50,5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000610,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1,-6,4,-40,-40,10,0,-5,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000611,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.75,-4,6,40,0,0,35,10,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000612,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.75,-7,8,20,10,-20,10,-5,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000613,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1,-5,2,-20,-20,20,40,5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000614,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.25,-7,6,0,0,10,30,15,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000615,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,2,-3,4,-10,40,-10,60,0,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000616,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,2,-6,6,-20,-20,0,10,-5,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000617,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.25,-4,4,20,20,0,40,5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000618,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.25,-8,8,0,0,10,30,15,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000619,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.75,-4,2,10,-40,-10,60,0,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000620,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.5,-7,4,10,-20,-10,20,15,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000621,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1,-3,6,-20,20,10,50,5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000622,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.5,-7,2,40,40,20,0,0,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000623,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,2,-5,8,-40,-10,-20,35,10,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000624,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,2,-7,4,0,0,10,50,0,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000625,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.25,-5,6,-10,-40,-10,20,10,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000626,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1,-7,2,20,-10,-20,35,15,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000627,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.5,-3,8,-20,20,20,0,0,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000628,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.75,-8,6,-40,40,0,40,15,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000629,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1,-4,4,40,0,0,10,0,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000630,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.25,-6,8,-10,-40,-20,60,-5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000631,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,2,-4,2,20,10,10,30,5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000632,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.75,-8,8,40,-40,20,40,10,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000633,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.25,-3,2,-40,10,-20,10,0,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000634,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1,-6,6,10,20,-10,60,-5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000635,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.75,-5,4,-20,-10,10,30,5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000636,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.5,-6,2,0,-10,20,50,-5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000637,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1,-5,8,10,40,-20,20,10,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000638,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.5,-8,4,-20,10,-10,35,15,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000639,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,2,-3,6,20,-20,0,0,5,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000640,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,2,-7,2,-20,10,-20,60,0,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000641,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.5,-5,8,20,-20,20,30,10,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000642,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1,-7,4,0,0,10,40,5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000643,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.5,-3,6,0,40,-10,10,-5,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000644,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.75,-8,8,20,20,-10,35,10,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000645,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1,-4,2,-10,-10,10,0,-5,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000646,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.25,-6,6,40,-40,0,50,5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000647,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.75,-4,4,-40,0,0,20,15,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000648,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,2,-8,6,-20,-20,-10,35,10,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000649,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.25,-3,4,10,20,10,0,-5,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000650,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1,-6,8,-40,40,20,50,5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000651,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.75,-5,2,40,0,-20,20,15,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000652,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.5,-6,4,20,-20,0,60,0,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000653,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1,-4,6,-20,20,10,30,15,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000654,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.25,-8,2,0,10,20,40,5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000655,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,2,-4,8,0,-40,-20,10,-5,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000656,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,2,-8,4,40,40,0,30,5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000657,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.5,-3,6,-40,0,0,60,-5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000658,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1,-6,2,10,-40,-20,10,0,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000659,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.5,-5,8,-10,10,20,40,15,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000660,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.75,-6,6,-10,0,10,0,0,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000661,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.25,-5,4,0,-40,-10,35,15,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000662,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.25,-8,8,-20,-10,-20,20,10,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000663,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,2,-3,2,20,40,20,50,0,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000664,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,2,-6,8,10,-10,10,0,5,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000665,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.25,-4,2,0,40,-20,35,15,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000666,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1,-8,6,20,10,0,20,10,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000667,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.75,-4,4,-20,-20,0,50,-5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000668,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.75,-7,2,-40,-40,20,30,10,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000669,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1,-3,8,40,10,-20,60,-5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000670,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.5,-7,4,-10,20,-10,10,0,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000671,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,2,-5,6,10,-10,10,40,10,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000672,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,2,-7,8,20,0,0,10,15,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000673,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.5,-3,2,-20,-40,0,40,5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000674,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1,-7,6,0,-10,-10,30,-5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000675,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.75,-5,4,-10,20,10,60,10,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000676,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.75,-6,2,-10,40,10,20,-5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000677,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1,-4,8,10,0,-10,50,5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000678,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.25,-8,4,-40,-20,-20,0,10,LOW_ENTROPY_MECHANISM_CONTROL,0.0,0.0,0.0,2
P25_TJBS_T_000679,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,1.75,-4,6,40,10,20,35,0,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
P25_TJBS_T_000680,P25_TRANSFER_V1_RANK1,GUARD_LINEAR_ENTROPY,STRUCTURED,2,-7,4,10,-40,20,20,-5,PREFERRED_20_60_DENSE_30_40,0.0,0.0,0.0,2
